helpfulVotes,id,reviewDate,publishedPlatform,rating,text,title,travelDate,tripType,username,userLocation,state,country,sentiment
0,968567058,6/9/24,MOBILE,5,"rarely visit amusement park since starting work , experience universal studio singapore ( us ) far exceeded expectation . free dance singing performance frequent added lively atmosphere street . peaceful scenery brought back memory childhood . ticket purchased official website also provide 5 % discount food souvenir , nice bonus .",Rediscovering Joy: A Nostalgic and Thrilling Day at Universal Studios Singapore,1/8/24,FRIENDS,Tea & Trails,Japan,,Japan,1
0,968205844,3/9/24,MOBILE,1,"known amazing ride like roller coaster , movie theme ride , kid pleasure cinema , souvenir shop snack shop , place museum entertainment . purposely went weekday weekend crowded . surprised see kind rush . entry time normal ticket 10am entered around 9.45am gate open . mind boggling see provided ticket without sense ’ happening inside . sadly , wait time every ride normal ticket 120 min , even people taken vip ticket line free access swing waiting 35-45 min turn . low-key experience see kind management place like . overall experience pretty bad ticket price & kind wait time given every ride lasted fraction second . really improve management understand headcount v wait time/ride .","Poor Management of Headcounts, too much wait time at each Ride",1/8/24,FAMILY,SahilChrungu,"New Delhi, India",New Delhi,India,1
0,968205239,3/9/24,MOBILE,3,"parco piccolo poche attrazioni ed alcune chiuse il salta filum costa 100 dollari persona , non ne vale la pena , perché le file non sono particolarmente lunghe anche negozi un po ’ deludenti con ripetizione di prodotto scarsa scelta",Parco piccolo con numero scarso di attrazioni,1/8/24,FRIENDS,Mery,"Bologna, Italy",Bologna,Italy,-1
0,968162075,3/9/24,OTHER,4,"family much ! got , ticket queue long . good thing booked via klook got ticket advance , walked directly entrance ! time enjoy ! klook discount code : joshdelacruzklook",Family Day in USS,1/7/24,FAMILY,Josh Dela Cruz,"Manila, Philippines",Manila,Philippines,1
0,968146293,3/9/24,MOBILE,4,leuk voor de liefhebbers van transformer en nog meer figuren ! 29 aug 2024 de ochtend rond 9uur gegaan .. alsnog mega druk haha . het een kleine universal . maar wel leuk dat je met echte mensen een figuren pak foto ’ kan maken . en de kwaliteit van de pakken zien er zo echt uit ! ! ! leuk gehad .,Leuk,1/9/24,BUSINESS,Vishaal,The Netherlands,,The Netherlands,1
0,968065725,2/9/24,MOBILE,3,"limited time singapore rainy season , coming universal studio best way spend day . second visit lion city seen big landmark since number year since major theme park , thought , hey . admission price quite reasonable especially compared universal studio los angeles orlando . however , admission get . wo n't able ride many ride unless fork extra $ 120 sgd fast pas . mid afternoon , wait major ride 2 hour . sorry , 'm standing hot sun 2+ hour 3 minute ride . result , got 4 ride ( none major ) 7 hour stay . others mentioned , 's nearly big american park . still , interested ride , fun way spend day . still glad went .",Hot and crowded!,1/9/24,COUPLES,County-Hunter,"Tacoma, Washington",Tacoma,Washington,1
2,967881522,1/9/24,MOBILE,3,something special ! universal studio los angeles ’ go difference chaotic,Not worth it,1/8/24,COUPLES,Αικατερινη Θ,"Patras, Greece",Patras,Greece,1
0,967429063,29/8/24,OTHER,1,"overcrowded attraction wait hour bought express ticket even expensive ticket whole family staff mention lot kid attraction n't express access 5 attraction went day ( 26 aug 24 ) technical problem even express ticket wait least 30mins till 1hour plus esp popular ride peak hour please note staff n't let express ticket holder immediately , still alternate express normal ticket holder , thus waiting time hour plus . worse waiting 1h plus cylon ride , announced ride technical problem unsure able resume attraction totally worth esp express ticket note day went working day . weekend public holiday . totally overcrowded . express ticket available ride , esp kid one . unable enjoy .",Totally overcrowded.,1/8/24,FAMILY,Pioneer07510762853,,,,1
0,966955986,26/8/24,MOBILE,4,"almost £350 3 adult ( including fast pas ) expensive place spend day . said , brilliant fun managed get every single ride space 6 hour including drink stop lunch stop ( pizza actually pretty good ) . although expensive ’ say universal express pas really essential want ride good stuff… .. reckon without pass would managed 2-3 ride best queue c90 minute ( longest queued probably 10 minute ) . water ride jurassic park great fun atleast one person tube likely get absolutely soaked ( case ! ) good idea keep one back end day unless like feeling damp ! top 5……cyclone best , mummy second , transformer third , human fourth , jurassic water slide fifth .",Brilliant but expensive day out!!,1/8/24,FAMILY,Peter L,"Winchester, United Kingdom",Winchester,United Kingdom,1
1,966443950,23/8/24,MOBILE,4,8月後半の平日（金曜日）午後に行きましたが、アトラクションは20〜90分待ちでした。暑さ対策はした方がいいです。水を飲めるスポットがいくつかあるので、緊急時にはそれを利用すればいいと思います。園内の物価は高く、缶（250ml）のコーラが4ドルします。敷地自体はコンパクトなので、全体的には回りやすいです。,大阪よりコンパクト,1/8/24,COUPLES,都会の田舎者,,,,-1
0,966170267,22/8/24,MOBILE,4,"eat go pack food , n't great . express ticket def ! ride awesome ! transformer ride must !",Expensive but fun,1/8/24,FAMILY,Ben J,"Point Cook, Australia",Point Cook,Australia,1
0,966117291,22/8/24,MOBILE,5,"amazing day universal studio sentosa ! bought rise dine ticket could get park early ( 8am ) get head start ride crowd descended . managed get four ride open u pass even got second go transformer , eating breakfast ( nice ) getting temporary barrier allow u rest theme park 10am . gave u time grab locker get onto mummy return queue began . sadly , battle star galactica cylon closed whilst queue ’ reopen whilst ’ hinder fun got ride ( bar one ) without queue longer 50 minute . ’ pleased bought rise dine ticket though ’ think would gotten nearly many ride ’ entered park ten ’ clock would queuing much longer . tip - rapid ride leave completely soaked skin - rapid ride ever . fair though vending machine along side queuing northerner ( england ) thought people going ott - turn ’ ! luckily u , drying machine outside ride together heat sun almost dry time left theme park later day - although trainer still damp ! finally , food really good ! went diner themed restaurant near new york area , back toward entry park variety burger , really fresh tasty .",Rise and Dine Tickets,1/8/24,FAMILY,Sarah P,,,,1
0,966031539,21/8/24,OTHER,4,fun experience back .... queue dispied enjoyed ride food incredible ..,ENJOYABLE,1/7/24,FAMILY,SunwooKim,South Korea,,South Korea,1
0,965943189,21/8/24,OTHER,5,知的障害を持っている２１歳の息子がなぜかジェットコースター好きで、ここに来ることを大変楽しみにしておりました。子供が乗る際、余計な荷物は入口のロッカーに入れろということで私が持つようにして中に入りました。待ち時間が１００分と表示されていたので１時間したところで出口で待っていた。しかし出て来ない！！。回りを見渡してもいないため、入口にある受付に「迷子」捜索をお願いしに行く。担当の人に息子の写真を見せると、この人？と逆にその人が撮った写真を見せられる。その人は息子に「園の外には出ず、入口付近が待っていろ」、と言ったが（担当の人がスマホの翻訳ソフトで対応してくれたようです）、いません。もしかしたら園の外に出てモノレールの駅まで行ってはしないかと妻は園内で待ち、私だけ外にでて探したが発見できず。閉園後、しばらくして再度入口に行くと息子と他のスタッフといたのを発見。スタッフには感謝でしかない。今後はそのようなことがないよう、一人になる場合にはズボンのポケットに位置場所が分かるエアータグを入れようと思う。,基本的には楽しいところ。子供から目を離さないようにしましょう。,1/8/24,FAMILY,Katsumi_Tokyo_Japan,"Tokyo, Japan",Tokyo,Japan,-1
0,965935795,20/8/24,OTHER,5,"exciting theme park thrilling ride , live show , immersive attraction based popular movie . perfect family adventure seeker . fun filler destination guarantee memorable experience .",Guaranteed a memorable experience,1/8/24,FAMILY,Traci H,"Saint Louis, Missouri",Saint Louis,Missouri,1
0,965647992,19/8/24,MOBILE,1,"entry allowed , even hotel guest . family kids/elderly want rest hotel , theme park suitable attraction considering price entry .",Re-entry not allowed despite high entry price,1/8/24,FAMILY,hendrixclaps,"Singapore, Singapore",Singapore,Singapore,1
0,965562443,18/8/24,OTHER,1,"worst customer service ever , poor organization . waited single line staff professional sense , let person stood normal line play even came alone even single stood age . cylon highlight place technical issue could played . go universal studio , osaka much pleasant visit place sg would worth time .",Poor organization & Waste of time,1/8/24,SOLO,Go22343633029,"Bangkok, Thailand",Bangkok,Thailand,1
1,965558323,18/8/24,MOBILE,1,extremely overcrowded long wait line many two hour long even express pas probably affordable many family $ 120 singapore wait period still 50 minute small park limited ride many closed . total waste time money save time money visit universal la,Disappointed universal studios Singapore customer,1/8/24,COUPLES,Adam M,,,,1
0,965222122,16/8/24,MOBILE,2,’ smallest universal studio ever visited . park also fewest interesting spot compared park . disappointed .,Smallest Universal Studio visited,1/8/24,FAMILY,John Hui,,,,1
0,965060425,15/8/24,MOBILE,2,extremely crowded people still lined enter including large school group . need control entry/limit number people otherwise 's waste time money . every attraction long wait appeared shut . whole place crowded even though weekday heat humidity n't worth effort . need cooling /airflow mechanism given rush general weather . quite disappointed wo n't recommend .,Disappointed! Over crowded and poor customer facilities.,1/8/24,COUPLES,Neha J,,,,1
1,964970878,15/8/24,OTHER,5,"visited famous universal studio singapore family . everything park ride available video website , hence talk suggestion . firstly , express pas almost necessity want explore park completely one day , buy . additional cost 120 dollar per person . visit early morning open give maximum time explore park . best ride liked : , transformer , revenge mummy , lost world rapid , addition roller coaster ride transformer zone . spend much time hollywood zone begining . start transformer zone , move ancient egypt lost word cover hollywood last . way able avoid much rush occurs zone second half day .",Universal studios,1/8/24,FAMILY,Devendra G,India,,India,1
0,964731169,14/8/24,OTHER,5,"amazing ! implementation recycling bin caused cleanliness around area well staff teaching younger audience environmentally friendly , well done ! also teaching kid recycle throw litter everywhere . good job rws .",My amazing experience,1/3/24,FAMILY,Curious06812307389,,,,1
0,964612725,13/8/24,OTHER,2,"attention ! le parc est super le attraction sympas , il n ' en pa beaucoup en revanche soit il faut prendre vos billet très en avance avec le `` express lane '' mais surtout ne le faites pa le jour même le prix augmentent et en plus il ne servent à rien ! nous somme allés un lundi espérant qu'il ait moins de monde ; pa de chance , trop de monde , de file d'attentes comprises entre 1h et 2h 30 - nous achetons 1 coupe fil pour que notre fille puisse faire le plus gross attraction , elle attendu 45 minute pour une seule attraction ! résultat elle n ' pu en faire que 2 sur le 5 souhaitées , un prix exorbitant et le reste de la famille laissée sur le côté à attendre ... bref , organisez votre séjour en amont , prenez le express lane et vérifiez peut être que ce ne soit pa le vacances ni locale ni chinoises pour éviter la foule ... le attraction en revanche sont très sympas , pour le peu que nous ayons fait",a organiser en amont pour ne pas se faire arnaquer,1/8/24,FAMILY,lilian H,,,,1
0,964607724,13/8/24,OTHER,1,"busy , hot , stressful worth . save money ! queue get , queue food & drink , queue hour sweltering heat ride last couple minute 40 min even queue jumper pas . gutted wasted money ! ’ ! ! ! ! ! !","Queues, queues and more queues!",1/7/24,FAMILY,NSun5,"Gerrards Cross, United Kingdom",Gerrards Cross,United Kingdom,1
0,964359047,11/8/24,MOBILE,1,"even monday , might spend whole day queueing go maximum 2 3 attraction . park would amazing comtrolled maximum number visitor day .",8h in queues to 15 min of fun,1/8/24,FAMILY,Fernanda C,"Curitiba, PR",Curitiba,PR,1
0,963805902,8/8/24,OTHER,1,like review .. bother ! ! ! tired & universal behave better towards customer ! oversold ! ! good ! sad,Don’t go !,1/8/24,COUPLES,ZOWIE L,,,,1
1,963735767,7/8/24,OTHER,5,"visiting universal studio singapore month family unforgettable experience ! ✨ park incredibly well-organized , perfect mix thrilling ride , entertaining show , fun attraction age . adrenaline-pumping roller coaster delightful character meet-and-greets , something everyone . staff friendly helpful , making experience even better . especially loved attention detail themed areas—it truly felt like stepping another world . must-visit destination family looking day filled adventure joy !",Unforgettable Family Adventure at Universal Studios Singapore,1/8/24,COUPLES,Flywings Tour & Packages Pvt. Ltd.,"Mohali, India",Mohali,India,1
0,963246145,4/8/24,OTHER,5,"came last year trip singapore mum boyfriend three u much fun . got gate opened went straight jurassic park rapid adventure managed get straight . went canopy flyer . favourite ride revenge mummy ride . also rode transformer ride ultimate 3d battle , sesame street spaghetti space chase , enchanted airway rollercoaster & shrek 4d ride . leaving , went shop got photo next replica vincent price 's star hollywood walk fame . australia n't universal studio , always make sure country visiting universal studio go , however really recommend coming sentosa island . also universal studio japan say universal studio quite small thats good thing line wait time far le universal studio see day leaf time see sentosa island singapore .",CAN'T LEAVE SENTOSA ISLAND WITHOUT STOPPING HERE,1/9/23,FAMILY,TheSydneyDoll,"Sydney, Australia",Sydney,Australia,1
1,963105520,4/8/24,MOBILE,5,"visited husband , couple 30 ’ . raining day ’ interrupt fun . approach : - arrive 10am ticket fast pas - head straight mummy , canopy flyer jurassic river ride get busy - twice , regular line using express pas except canopy flyer - spend rest day ride eating/relaxing . burger drive diner okay . went sunday busy table far . really enjoyed transformer ride battlestar galactica rollercoaster . back monorail mrt get back hotel 5hrs fun .",A fun day for adults and children alike.,1/8/24,COUPLES,LozzaRozza,"Perth, Australia",Perth,Australia,1
1,962952623,3/8/24,MOBILE,1,"tappa da evitare se vi trovate vacanza singapore ! davvero uno spreco di tempo , di denaro e di salute . prezzo sproporzionato rispetto al servizio che offrono . abbiamo speso per 2 adulti e 2 bambino 206 euro , il mio bambino di 4 anni non ha avuto accesso quasi nessuna attrazione . più bisogna spendere 140 dollari singaporesi per avere il pas alle file veloci ( che veloci non sono ) . gli spettacoli più interessanti sono comunque pagamento . non è possibile farsi la foto con personaggi : al massimo ad una piccola filum di persone viene concessa . il cibo , l'acqua e souvenir sono carissimi ( un hotdog 19 dollari , circa ) . il personale non è assolutamente cordiale , tutt'altro . se la giornata è calda , sappiate che non vi sono adeguati posti di ristoro e questo è un problema , soprattutto per chi deve aspettare fuori dell'attrazione , magari con un bimbo più piccolo . mai visto una gestione di un parco peggiore di questa .",Da evitare,1/8/24,FAMILY,Gianluca S,"Atripalda, Italy",Atripalda,Italy,1
1,962935683,2/8/24,OTHER,1,"thrill seeker , excited universal ... wish n't bothered . 1. ride thrilling underwhelming / boring . even rollercoasters . 2. wait time incredibly long ( 90-100mins ) quality ride warrant . 3. buy fast pas individual ride , would done . 4. single rider queue exist highly annoying ride ca n't queue anything left large amount time staring space . 5. go early k actually get anything 6. ended leaving 3 hour want waste queue alone . waste money time .",Avoid if you're a thrill seeker,1/8/24,SOLO,Maddyson L,"Blyth, United Kingdom",Blyth,United Kingdom,1
0,962794095,1/8/24,MOBILE,2,"il costo del biglietto è sui 60 euro . ho visitato altro 3 universal studio e questo è il peggiore secondo . è troppo troppo piccolo e ci sono pochissime attrazioni . quello di los angeles è 1000 volta meglio . non lo consiglio , lasciate perdere",Deludente,1/8/24,COUPLES,Barbara171090,"San Giovanni in Persiceto, Italy",San Giovanni in Persiceto,Italy,-1
0,962344172,30/7/24,OTHER,4,"overall experience pretty good . park sooo small , took like 3 hour fast pas thing get play almost ride . fact n't need fast pas , queue time n't took long half hour average ride ( time went ) , even scariest ride theme park ( blue red rollercoaster ) . really good theme park",kind of good.,1/12/23,FAMILY,William X,,,,1
1,962301072,29/7/24,MOBILE,2,went universal singapore . park self wonderful . however soon become clear would become day cue . managed 5 ride 9 hour . longest wait 2 hour 40 min . universal clearly let many customer instead cap total . steep price today set nearly scam,The big waiting game. 5 rides in 9 hours,1/7/24,FAMILY,BullCocky,"Bekkestua, Norway",Bekkestua,Norway,1
2,961661154,25/7/24,MOBILE,2,"go us early entry breakfast , get early access 8am ride , would otherwise cost 2-3 hour . also early big ride 5-15 minute wait time . time unbearable , 60-150 minute wait large ride heat unbearable , know sg hot park infrastructure rubbish , theme park uk better air conditioning majority queue indoors ac ( maybe one two )",USS breakfast early entry,1/7/24,COUPLES,Lewis,"Manchester, United Kingdom",Manchester,United Kingdom,1
1,961538936,25/7/24,OTHER,2,visiting universal studio really waste money . many attraction small child . attraction rather low quality . worse waiting time enter attraction typically hour . attraction one even chair sit one stand crowd poor visibility happening . like place spend lot money food drink without experiencing anything interesting . almost scam .,Waste of money,1/7/24,COUPLES,Snorkelingman,,,,1
5,961532549,25/7/24,OTHER,3,"n't get wrong . absolutely loved day went good time . could n't stop comparing universal studio location like hollywood florida . ride super short n't iconic ride universal studio . show somehwat ... weirdly meeeeh ? like compare disney show n't even compare . like instance , watched troll show , sort got feeling singer n't good ? audio sucked studio ? something . cost food absolute bonkers ! n't lot place eat lunchtime restaurant packed brim ! ended going anywhere wound far far away land chicken place . cost whopping $ 47 4pcs fried chicken 2 drink 1 cup rice ! ? ! holy molly . compared restaurand city spent like $ 30+ something ordered bunch food . worth maybe 1 visit naaah never . go hk disneyland instead hollywood want real deal .",It's Good but could be better,1/7/24,FAMILY,Ethan M,"Taguig City, Philippines",Taguig City,Philippines,1
1,961495673,25/7/24,MOBILE,2,"thought taking kid weekday school day good idea . unfortunately , . crowded . 10am 3pm & time , able take 4 ride . ride , waiting period hour . eventually , kid & exhausted waiting ride . ’ buy express ticket , ’ bother going . though express ticket expensive able jump super long queue . food also expensive .",Waste of time,1/7/24,FAMILY,Kiran,"Shah Alam, Malaysia",Shah Alam,Malaysia,1
1,960807200,23/7/24,OTHER,2,"’ worth money ! queue scorching heat 1+ lucky ’ get go many ride . food restaurant ’ good expensive . would worth charged le , stand , recommend universal studio singapore . going , avoid going weekend .",Too expensive for what you get!!!,1/7/24,FAMILY,Denise D,,,,1
2,960794983,22/7/24,OTHER,2,booked hotel stay resort world singapore family ( including 3-year old toddler ) along one-day ticket universal studio singapore . intention bring toddler back hotel room nap afternoon continuing theme park late afternoon . found staff re-entry theme park longer allowed ( new policy since 01 june 2024 ) . guess name single-entry ticket instead one-day ticket . policy make family unfriendly young child still require afternoon nap .,No Re-entry Allowed,1/7/24,FAMILY,diCkyfat,"Singapore, Singapore",Singapore,Singapore,-1
0,960406059,20/7/24,MOBILE,3,"came purchased ticket touch screen booth . brought standard ticket , understood second option `` fast track , '' would purchased ticket , come different title . queue ridiculously long . every time got around corner , another one waiting . fast track queue walked straight past normal queue , would need purchase new ticket see uograde option . theme park okay . feel smaller comparison america , still nice day , plenty food outlet , lot happy family , excited child . transformer ride fun .",Purchase Fast Track Tickets!,1/7/24,COUPLES,MissD1984,"Birmingham, United Kingdom",Birmingham,United Kingdom,1
0,960273922,20/7/24,OTHER,2,"recent visit universal studio singapore mix excitement frustration . park abit small beautifully themed . however , overall experience significantly marred extremely long wait time almost every ride . entered park 10am fri managed try first ride 12:15pm . 1st ride excitement quickly waned realised average wait time ride close 2 hour ( even though organiser say le ) . meant full day park , could manage go handful ride , quite disappointing considering hefty entrance fee . value money opinion .",Long Wait Times Dampen the Magic,1/7/24,FAMILY,Gelar M,,,,1
0,960262489,19/7/24,MOBILE,1,"le parc ’ attraction universal studio promet de belle expériences , mais une fois à l ’ intérieur , vous passez la plupart du temp à attendre pour le attraction , avec de temp ’ attente variant entre 45 minute et 1h30 . pour une famille de deux adultes et deux enfants , cela signifie qu ’ il est possible de faire au maximum trois ou quatre attraction dans la journée . le attraction elles-mêmes durent environ cinq minute chacune . le parc propose un ticket supplémentaire , le “ universal express ” , pour couper le ligne , mais même avec ce système , il faut encore attendre . si vous décidez de l ’ acheter sur place , cela coûte environ 130 $ par personne , soit presque 600 $ supplémentaires pour une famille de quatre personnes . en ajoutant ce coût au prix du ticket ’ entrée de presque 300 $ cela devient plus qu ’ excessif , c ’ est du vol",Très décevant,1/7/24,FAMILY,Kolya77,"Geneva, Switzerland",Geneva,Switzerland,1
0,960247106,19/7/24,OTHER,5,sunny weekend expected alot tourist . ride train express vivo universal studiso head sentosa .,Universal Studios Singapore,1/6/24,FRIENDS,Charish E,,,,1
0,960058106,18/7/24,OTHER,3,"11 year old wanted go singapore since n't california one , figured could go one . wonderful time highlight trip . however , visited location california , certainly nothing like . california one train go around studio , show amazing . show singapore one n't great . like stephen spielberg one . wait long , extremely hot fan rotate left waiting . enter long boring talk , go another room show special effect . pale comparison la one proper show . waterworld line long skipped since hot . food okay , barely place sit since table fully occupied . express cost lot money - ticket price plus sgd 120 per person express , spent almost sgd 600 3 people . nickel dime lot . drying pod outside water rapid ride cost sgd 5. poncho cost sgd 6. paying hefty fee , n't expect nickel dime much . kid lot fun point , la one , one really n't measure . get express peak time . line 60-90 minute wait battlestar galactica like , express basically 10-15 minute . saw long line grateful express even though expensive . within 4-5 hour done ride couple show . shrek 4-d good talk open door awful , awful . long , unnecessary , everyone standing around waiting , kid losing patience , nobody listening lady giving instruction repeatedly asking people move . everyone busy taking selfies . world come ! almost left since tired door opened enjoyed show . recommend universal la one young kid enjoy ride .",Too expensive but nice rides,1/7/24,FAMILY,Newyorker,"New York City, New York",New York City,New York,1
0,960057274,18/7/24,OTHER,4,"took cable car mount faber universal , bit trek pushchair worth great view . us great . 36 ' bright sunshine today made waiting line difficult two little one ( 5 & 9yo ) . would recommend going late afternoon 4pm onwards cooler jumping onto ride 5-15min wait time whereas first got 12 first two ride 45ish minute wait . afford buy express pas 's worth want main ride . thrill loving 9yo loved mummy , raptor rapid , pus boot transformer light camera action show . tamer 5yo preferred sesame street , minion show , water world show spotting character photo . something everyone . expected food expensive , 17dollars kid chicken kfc style meal . lot water station around though bring bottle .","Great day out, something for everyone",1/7/24,FAMILY,Ashleigh J,,,,1
0,959993174,17/7/24,MOBILE,5,"went early july , monday school holiday . express pass entered gate opened . ’ seem get faster - separate queue ’ processed quickly ’ use pass beginning day queue short . overall found experience much nicer disney . stress booking time window fast pass - used pass middle day also single rider pass went every single ride park , mummy 4x , rollercoasters 4x ( right end day ) also caught show sat brunch lunch . one favourite park experience - guru done disney california one tokyo , , fun .",Express pass 100% worth it,1/7/24,FAMILY,Helen Y,"Sydney, Australia",Sydney,Australia,1
0,959735072,15/7/24,OTHER,5,"family spent weekday universal studio singapore . waiting time per attraction okay ; would better check app see waiting time . enjoyed jurrasic park rapid adventure , transformer : ultimate 3d battle , revenge mummy , shrek 4-d adventure , canopy flyer , water world . one day enough fully enjoy park . 's best pack umbrella flask , especially hot season .",Fun Experience!,1/10/23,FAMILY,AEA,"Antipolo City, Philippines",Antipolo City,Philippines,1
1,959137198,12/7/24,OTHER,4,"many time last went 2022 , place amazing , operational malfunctions/delays . still feel build ride otherwise amazing !",Great!,1/8/23,FRIENDS,Tanishka P,"Pune, India",Pune,India,1
1,959098868,11/7/24,MOBILE,1,line 1 hour every ride . basically paid $ 250 opportunity purchase overpriced souvenir crap food beverage . give miss .,Forget it,1/7/24,FAMILY,Grant M,,,,1
0,959000755,11/7/24,MOBILE,4,fully enjoyed trip even ventured rollacoasters complaint let ques get big vip 1 hour normal que 2 hour ride inaccurate waiting time displayed eat day use slot time . plenty good restaurant snack sale bubblegum icecream nice .,Trip to universal Singapore,1/7/24,COUPLES,Neil S,"Birmingham, United Kingdom",Birmingham,United Kingdom,1
1,958704983,9/7/24,MOBILE,4,"time today . pre purchased ticket online , nice easy . 10 min get gate . place busy ride time pretty good . lot place buy food . ’ theme park price expensive . good day family outing .",Good Family Day Out,1/7/24,FAMILY,Damien S,"Adelaide, Australia",Adelaide,Australia,1
1,958367567,7/7/24,MOBILE,2,worth price admission . wait time ride extremely excessive paying $ 100 per person use fast pas line insane amount ride . say best ride went transformer ride . would highly recommend ride . ride disappointing . avoid treasure hunter ride cost ! ! ! worst ride ever life . angry hell wait line ride . warned .,Don’t waste your money or time. Better things to do in Singapore than this.,1/7/24,FAMILY,Kevin S,,,,1
